Date,Q(t-2),Q(t-1),Q(t),Q(t+1)
2012-08-31,11.2,4.12,4.44,17.6
2012-09-30,4.12,4.44,17.6,17.15
2012-10-31,4.44,17.6,17.15,4.09
2012-11-30,17.6,17.15,4.09,59.38
2012-12-31,17.15,4.09,59.38,30.09
2013-01-31,4.09,59.38,30.09,25.79
2013-02-28,59.38,30.09,25.79,8.33
2013-03-31,30.09,25.79,8.33,16.4
2013-04-30,25.79,8.33,16.4,4.31
2013-05-31,8.33,16.4,4.31,0.75
2013-06-30,16.4,4.31,0.75,0.23
2013-07-31,4.31,0.75,0.23,0.2
2013-08-31,0.75,0.23,0.2,0.04
2013-09-30,0.23,0.2,0.04,3.93
2013-10-31,0.2,0.04,3.93,13.4
2013-11-30,0.04,3.93,13.4,43.82
2013-12-31,3.93,13.4,43.82,20.75
2014-01-31,13.4,43.82,20.75,38.55
2014-02-28,43.82,20.75,38.55,24.28
2014-03-31,20.75,38.55,24.28,0.83
2014-04-30,38.55,24.28,0.83,0.14
2014-05-31,24.28,0.83,0.14,0.04
2014-06-30,0.83,0.14,0.04,0.03
2014-07-31,0.14,0.04,0.03,0.09
2014-08-31,0.04,0.03,0.09,0.02
2014-09-30,0.03,0.09,0.02,0.67
2014-10-31,0.09,0.02,0.67,59.35
2014-11-30,0.02,0.67,59.35,34.81
2014-12-31,0.67,59.35,34.81,29.02
2015-01-31,59.35,34.81,29.02,4.82
2015-02-28,34.81,29.02,4.82,44.82
2015-03-31,29.02,4.82,44.82,4.67
2015-04-30,4.82,44.82,4.67,0.19
2015-05-31,44.82,4.67,0.19,0.14
2015-06-30,4.67,0.19,0.14,1.0
2015-07-31,0.19,0.14,1.0,0.32
2015-08-31,0.14,1.0,0.32,0.42
2015-09-30,1.0,0.32,0.42,0.3
2015-10-31,0.32,0.42,0.3,20.5943
2015-11-30,0.42,0.3,20.5943,31.9318
2015-12-31,0.3,20.5943,31.9318,46.9096
2016-01-31,20.5943,31.9318,46.9096,32.592
2016-02-29,31.9318,46.9096,32.592,44.6307
2016-03-31,46.9096,32.592,44.6307,26.833
2016-04-30,32.592,44.6307,26.833,10.7059
2016-05-31,44.6307,26.833,10.7059,0.67
2016-06-30,26.833,10.7059,0.67,0.4
2016-07-31,10.7059,0.67,0.4,11.28
2016-08-31,0.67,0.4,11.28,2.84
2016-09-30,0.4,11.28,2.84,4.7
2016-10-31,11.28,2.84,4.7,20.86
2016-11-30,2.84,4.7,20.86,17.05
2016-12-31,4.7,20.86,17.05,40.62
2017-01-31,20.86,17.05,40.62,39.59
2017-02-28,17.05,40.62,39.59,7.58
2017-03-31,40.62,39.59,7.58,6.12
2017-04-30,39.59,7.58,6.12,1.15
2017-05-31,7.58,6.12,1.15,0.19
2017-06-30,6.12,1.15,0.19,0.09
2017-07-31,1.15,0.19,0.09,0.03
2017-08-31,0.19,0.09,0.03,0.0
2017-09-30,0.09,0.03,0.0,15.2363
2017-10-31,0.03,0.0,15.2363,37.2676
2017-11-30,0.0,15.2363,37.2676,43.1281
